2024-12-31 00:29:06.78 info: Downloaded 969 events
2024-12-31 00:29:06.79 info: 918 events left after removing duplicates
2024-12-31 00:29:06.94 info: Ignored 0 events with ID smaller than the latest event ID
2024-12-31 00:29:06.94 info: Successfully processed 918 kill events
2024-12-31 00:29:06.94 info: Deleted data from 2024-12-24T00:00:00.000Z for kill type duo
2024-12-31 00:29:06.94 info: Deleted data from 2024-12-24T00:00:00.000Z for kill type solo
2024-12-31 00:29:06.94 info: Deleted data from 2024-12-24T00:00:00.000Z for kill type 3-5
2024-12-31 00:29:06.95 info: Deleted data from 2024-12-24T00:00:00.000Z for kill type 6-10
2024-12-31 00:29:06.95 info: Deleted data from 2024-12-24T00:00:00.000Z for kill type >10
2024-12-31 00:51:32.69 error: Error fetching data: Request failed with status code 504
2024-12-31 00:52:02.71 error: Error fetching data: Request failed with status code 504
2024-12-31 00:52:32.74 error: Error fetching data: Request failed with status code 504
2024-12-31 01:20:57.98 error: Error fetching data: Request failed with status code 504
2024-12-31 01:21:28.01 error: Error fetching data: Request failed with status code 504
2024-12-31 01:21:58.05 error: Error fetching data: Request failed with status code 504
2024-12-31 01:55:51.43 error: Error fetching data: Request failed with status code 504
2024-12-31 01:56:50.67 error: Error fetching data: Request failed with status code 504
2024-12-31 01:57:20.72 error: Error fetching data: Request failed with status code 504
